Year,Country_Code,Country_Name,Host_city,Host_country,Gold,Silver,Bronze,Total_Medals,Continent
1932,USA,United States,Los Angeles,United States,41,32,30,103,North America
1932,ITA,Italy,Los Angeles,United States,12,12,12,36,Europe
1932,FRA,France,Los Angeles,United States,10,5,4,19,Europe
1932,SWE,Sweden,Los Angeles,United States,9,5,9,23,Europe
1932,JPN,Japan,Los Angeles,United States,7,7,4,18,Asia
1932,HUN,Hungary,Los Angeles,United States,6,4,5,15,Europe
1932,FIN,Finland,Los Angeles,United States,5,8,12,25,Europe
1932,GBR,Great Britain,Los Angeles,United States,4,7,5,16,Europe
1932,DEU,Germany,Los Angeles,United States,3,12,5,20,Europe
1932,AUS,Australia,Los Angeles,United States,3,1,1,5,Oceania
1932,ARG,Argentina,Los Angeles,United States,3,1,0,4,South America
1932,CAN,Canada,Los Angeles,United States,2,5,8,15,North America
1932,NLD,Netherlands,Los Angeles,United States,2,5,0,7,Europe
1932,POL,Poland,Los Angeles,United States,2,1,4,7,Europe
1932,ZAF,South Africa,Los Angeles,United States,2,0,3,5,Africa
1932,IRL,Ireland,Los Angeles,United States,2,0,0,2,Europe
1932,CZE,Czechoslovakia,Los Angeles,United States,1,2,1,4,Europe
1932,AUT,Austria,Los Angeles,United States,1,1,3,5,Europe
1932,IND,India,Los Angeles,United States,1,0,0,1,Asia
1932,DNK,Denmark,Los Angeles,United States,0,3,3,6,Europe
1932,MEX,Mexico,Los Angeles,United States,0,2,0,2,North America
1932,LVA,Latvia,Los Angeles,United States,0,1,0,1,Europe
1932,NZL,New Zealand,Los Angeles,United States,0,1,0,1,Oceania
1932,CHE,Switzerland,Los Angeles,United States,0,1,0,1,Europe
1932,PHL,Philippines,Los Angeles,United States,0,0,3,3,Asia
1932,ESP,Spain,Los Angeles,United States,0,0,1,1,Europe
1932,URY,Uruguay,Los Angeles,United States,0,0,1,1,South America
1928,USA,United States,Amsterdam,Netherlands,22,18,16,56,North America
1928,DEU,Germany,Amsterdam,Netherlands,10,7,14,31,Europe
1928,FIN,Finland,Amsterdam,Netherlands,8,8,9,25,Europe
1928,SWE,Sweden,Amsterdam,Netherlands,7,6,12,25,Europe
1928,ITA,Italy,Amsterdam,Netherlands,7,5,7,19,Europe
1928,CHE,Switzerland,Amsterdam,Netherlands,7,4,4,15,Europe
1928,FRA,France,Amsterdam,Netherlands,6,10,5,21,Europe
1928,NLD,Netherlands,Amsterdam,Netherlands,6,9,4,19,Europe
1928,HUN,Hungary,Amsterdam,Netherlands,4,5,0,9,Europe
1928,CAN,Canada,Amsterdam,Netherlands,4,4,7,15,North America
1928,GBR,Great Britain,Amsterdam,Netherlands,3,10,7,20,Europe
1928,ARG,Argentina,Amsterdam,Netherlands,3,3,1,7,South America
1928,DNK,Denmark,Amsterdam,Netherlands,3,1,2,6,Europe
1928,CZE,Czechoslovakia,Amsterdam,Netherlands,2,5,2,9,Europe
1928,JPN,Japan,Amsterdam,Netherlands,2,2,1,5,Asia
1928,EST,Estonia,Amsterdam,Netherlands,2,1,2,5,Europe
1928,EGY,Egypt,Amsterdam,Netherlands,2,1,1,4,Africa
1928,AUT,Austria,Amsterdam,Netherlands,2,0,1,3,Europe
1928,AUS,Australia,Amsterdam,Netherlands,1,2,1,4,Oceania
1928,NOR,Norway,Amsterdam,Netherlands,1,2,1,4,Europe
1928,POL,Poland,Amsterdam,Netherlands,1,1,3,5,Europe
1928,YUG,Yugoslavia,Amsterdam,Netherlands,1,1,3,5,Europe
1928,ZAF,South Africa,Amsterdam,Netherlands,1,0,2,3,Africa
1928,IND,India,Amsterdam,Netherlands,1,0,0,1,Asia
1928,IRL,Ireland,Amsterdam,Netherlands,1,0,0,1,Europe
1928,NZL,New Zealand,Amsterdam,Netherlands,1,0,0,1,Oceania
1928,ESP,Spain,Amsterdam,Netherlands,1,0,0,1,Europe
1928,URY,Uruguay,Amsterdam,Netherlands,1,0,0,1,South America
1928,BEL,Belgium,Amsterdam,Netherlands,0,1,2,3,Europe
1928,CHL,Chile,Amsterdam,Netherlands,0,1,0,1,South America
1928,HTI,Haiti,Amsterdam,Netherlands,0,1,0,1,North America
1928,PHL,Philippines,Amsterdam,Netherlands,0,0,1,1,Asia
1928,PRT,Portugal,Amsterdam,Netherlands,0,0,1,1,Europe
1924,USA,United States,Paris,France,45,27,27,99,North America
1924,FIN,Finland,Paris,France,14,13,10,37,Europe
1924,FRA,France,Paris,France,13,15,10,38,Europe
1924,GBR,Great Britain,Paris,France,9,13,12,34,Europe
1924,ITA,Italy,Paris,France,8,3,5,16,Europe
1924,CHE,Switzerland,Paris,France,7,8,10,25,Europe
1924,NOR,Norway,Paris,France,5,2,3,10,Europe
1924,SWE,Sweden,Paris,France,4,13,12,29,Europe
1924,NLD,Netherlands,Paris,France,4,1,5,10,Europe
1924,BEL,Belgium,Paris,France,3,7,3,13,Europe
1924,AUS,Australia,Paris,France,3,1,2,6,Oceania
1924,DNK,Denmark,Paris,France,2,5,2,9,Europe
1924,HUN,Hungary,Paris,France,2,3,4,9,Europe
1924,YUG,Yugoslavia,Paris,France,2,0,0,2,Europe
1924,CZE,Czechoslovakia,Paris,France,1,4,5,10,Europe
1924,ARG,Argentina,Paris,France,1,3,2,6,South America
1924,EST,Estonia,Paris,France,1,1,4,6,Europe
1924,ZAF,South Africa,Paris,France,1,1,1,3,Africa
1924,URY,Uruguay,Paris,France,1,0,0,1,South America
1924,AUT,Austria,Paris,France,0,3,1,4,Europe
1924,CAN,Canada,Paris,France,0,3,1,4,North America
1924,POL,Poland,Paris,France,0,1,1,2,Europe
1924,HTI,Haiti,Paris,France,0,0,1,1,North America
1924,JPN,Japan,Paris,France,0,0,1,1,Asia
1924,NZL,New Zealand,Paris,France,0,0,1,1,Oceania
1924,PRT,Portugal,Paris,France,0,0,1,1,Europe
1924,ROU,Romania,Paris,France,0,0,1,1,Europe
1920,USA,United States,Antwerp,Belgium,41,27,27,95,North America
1920,SWE,Sweden,Antwerp,Belgium,19,20,25,64,Europe
1920,BEL,Belgium,Antwerp,Belgium,16,12,14,42,Europe
1920,FIN,Finland,Antwerp,Belgium,15,10,9,34,Europe
1920,GBR,Great Britain,Antwerp,Belgium,14,16,13,43,Europe
1920,NOR,Norway,Antwerp,Belgium,13,9,9,31,Europe
1920,ITA,Italy,Antwerp,Belgium,13,5,5,23,Europe
1920,FRA,France,Antwerp,Belgium,9,19,13,41,Europe
1920,NLD,Netherlands,Antwerp,Belgium,4,2,5,11,Europe
1920,DNK,Denmark,Antwerp,Belgium,3,9,1,13,Europe
1920,ZAF,South Africa,Antwerp,Belgium,3,4,3,10,Africa
1920,CAN,Canada,Antwerp,Belgium,3,3,3,9,North America
1920,CHE,Switzerland,Antwerp,Belgium,2,2,7,11,Europe
1920,EST,Estonia,Antwerp,Belgium,1,2,0,3,Europe
1920,BRA,Brazil,Antwerp,Belgium,1,1,1,3,South America
1920,AUS,Australia,Antwerp,Belgium,0,2,1,3,Oceania
1920,JPN,Japan,Antwerp,Belgium,0,2,0,2,Asia
1920,ESP,Spain,Antwerp,Belgium,0,2,0,2,Europe
1920,GRC,Greece,Antwerp,Belgium,0,1,0,1,Europe
1920,LUX,Luxembourg,Antwerp,Belgium,0,1,0,1,Europe
1920,CZE,Czechoslovakia,Antwerp,Belgium,0,0,2,2,Europe
1920,NZL,New Zealand,Antwerp,Belgium,0,0,1,1,Oceania
1912,USA,United States,Stockholm,Sweden,26,19,19,64,North America
1912,SWE,Sweden,Stockholm,Sweden,24,24,17,65,Europe
1912,GBR,Great Britain,Stockholm,Sweden,10,15,16,41,Europe
1912,FIN,Finland,Stockholm,Sweden,9,8,9,26,Europe
1912,FRA,France,Stockholm,Sweden,7,5,3,15,Europe
1912,DEU,Germany,Stockholm,Sweden,6,13,7,26,Europe
1912,ITA,Italy,Stockholm,Sweden,5,1,2,8,Europe
1912,ZAF,South Africa,Stockholm,Sweden,4,2,0,6,Africa
1912,NOR,Norway,Stockholm,Sweden,4,1,5,10,Europe
1912,CAN,Canada,Stockholm,Sweden,3,2,3,8,North America
1912,HUN,Hungary,Stockholm,Sweden,3,2,3,8,Europe
1912,AUS,Australasia,Stockholm,Sweden,2,2,3,7,Oceania
1912,BEL,Belgium,Stockholm,Sweden,2,1,3,6,Europe
1912,DNK,Denmark,Stockholm,Sweden,1,6,5,12,Europe
1912,GRC,Greece,Stockholm,Sweden,1,0,1,2,Europe
1912,CHE,Switzerland,Stockholm,Sweden,1,0,0,1,Europe
1912,RUS,Russian Empire,Stockholm,Sweden,0,2,3,5,Europe
1912,AUT,Austria,Stockholm,Sweden,0,2,2,4,Europe
1912,NLD,Netherlands,Stockholm,Sweden,0,0,3,3,Europe
1908,GBR,Great Britain,London,Great Britain,56,51,39,146,Europe
1908,USA,United States,London,Great Britain,23,12,12,47,North America
1908,SWE,Sweden,London,Great Britain,8,6,11,25,Europe
1908,FRA,France,London,Great Britain,5,5,9,19,Europe
1908,DEU,Germany,London,Great Britain,3,5,5,13,Europe
1908,HUN,Hungary,London,Great Britain,3,4,2,9,Europe
1908,CAN,Canada,London,Great Britain,3,3,10,16,North America
1908,NOR,Norway,London,Great Britain,2,3,3,8,Europe
1908,ITA,Italy,London,Great Britain,2,2,0,4,Europe
1908,BEL,Belgium,London,Great Britain,1,5,2,8,Europe
1908,AUS,Australasia,London,Great Britain,1,2,2,5,Oceania
1908,RUS,Russian Empire,London,Great Britain,1,2,0,3,Europe
1908,FIN,Finland,London,Great Britain,1,1,3,5,Europe
1908,ZAF,South Africa,London,Great Britain,1,1,0,2,Africa
